State,FIPS,Value (Dollars),Rank within US (of 52 states)
Puerto Rico,72001,"24,002",52
Mississippi,28000,"52,985",51
West Virginia,54000,"55,217",50
Arkansas,5000,"56,335",49
Louisiana,22000,"57,852",48
New Mexico,35000,"58,722",47
Alabama,1000,"59,609",46
Kentucky,21000,"60,183",45
Oklahoma,40000,"61,364",44
South Carolina,45000,"63,623",43
Tennessee,47000,"64,035",42
Missouri,29000,"65,920",41
North Carolina,37000,"66,186",40
Montana,30000,"66,341",39
Ohio,39000,"66,990",38
Indiana,18000,"67,173",37
Florida,12000,"67,917",36
Maine,23000,"68,251",35
Michigan,26000,"68,505",34
South Dakota,46000,"69,457",33
Kansas,20000,"69,747",32
Idaho,16000,"70,214",31
Iowa,19000,"70,571",30
Georgia,13000,"71,355",29
Nevada,32000,"71,646",28
Nebraska,31000,"71,722",27
Wisconsin,55000,"72,458",26
Wyoming,56000,"72,495",25
Arizona,4000,"72,581",24
Texas,48000,"73,035",23
Pennsylvania,42000,"73,170",22
North Dakota,38000,"73,959",21
Vermont,50000,"74,014",20
Oregon,41000,"76,632",19
Illinois,17000,"78,433",18
Delaware,10000,"79,325",17
Rhode Island,44000,"81,370",16
New York,36000,"81,386",15
Minnesota,27000,"84,313",14
Alaska,2900,"86,370",13
Utah,49000,"86,833",12
Virginia,51000,"87,249",11
Colorado,8000,"87,598",10
Connecticut,9000,"90,213",9
Washington,53000,"90,325",8
New Hampshire,33000,"90,845",7
California,6000,"91,905",6
Hawaii,15000,"94,814",5
Massachusetts,25000,"96,505",4
New Jersey,34000,"97,126",3
Maryland,24000,"98,461",2
District of Columbia,11001,"101,722",1
